date,open,high,low,close,volume
2025-07-16 13:15:00,210.687,210.7,210.6309,210.6309,35319.0
2025-07-16 13:10:00,210.78,210.935,210.66,210.685,401578.0
2025-07-16 13:05:00,210.615,210.77,210.615,210.7061,7701925.0
2025-07-16 13:00:00,210.375,210.645,210.375,210.6288,18353311.0
2025-07-16 12:55:00,210.16,210.43,210.155,210.3117,249599.0
2025-07-16 12:50:00,209.785,210.21,209.6229,210.16,276664.0
2025-07-16 12:45:00,209.79,209.8665,209.39,209.6415,258803.0
2025-07-16 12:40:00,209.94,209.99,209.74,209.74,172510.0
2025-07-16 12:35:00,209.83,210.0097,209.7769,209.945,223687.0
2025-07-16 12:30:00,209.6,209.905,209.5724,209.8234,197397.0
2025-07-16 12:25:00,209.78,209.78,209.53,209.5793,191487.0
2025-07-16 12:20:00,209.778,209.86,209.57,209.8,191616.0
2025-07-16 12:15:00,209.68,209.87,209.6,209.77,12377.0
2025-07-16 12:10:00,209.79,209.82,209.55,209.71,273109.0
2025-07-16 12:05:00,209.7,210.05,209.66,209.82,334148.0
2025-07-16 12:00:00,209.86,210.01,209.63,209.63,310814.0
2025-07-16 11:55:00,209.78,210.5,209.73,209.85,814512.0
2025-07-16 11:50:00,209.76,209.87,209.49,209.77,324090.0
2025-07-16 11:45:00,209.67,209.82,209.5,209.75,363467.0
2025-07-16 11:40:00,208.94,209.69,208.83,209.66,534989.0
2025-07-16 11:35:00,209.02,209.08,208.64,208.95,824063.0
2025-07-16 11:30:00,210.13,210.13,208.95,209.03,916946.0
2025-07-16 11:25:00,209.53,210.23,209.46,210.12,513701.0
2025-07-16 11:20:00,209.69,209.84,209.3,209.54,805194.0
2025-07-16 11:15:00,210.82,210.84,209.66,209.69,979337.0
2025-07-16 11:10:00,210.64,210.88,210.56,210.85,333918.0
2025-07-16 11:05:00,210.91,210.94,210.56,210.62,304853.0
2025-07-16 11:00:00,210.8,210.99,210.55,210.94,447092.0
2025-07-16 10:55:00,210.69,211.06,210.48,210.78,487395.0
2025-07-16 10:50:00,210.93,211.12,210.6,210.73,797752.0
2025-07-16 10:45:00,211.02,211.27,210.89,210.93,420530.0
2025-07-16 10:40:00,211.3,211.39,210.98,211.02,488190.0
2025-07-16 10:35:00,211.76,211.78,211.28,211.29,553668.0
2025-07-16 10:30:00,212.1,212.18,211.75,211.75,584560.0
2025-07-16 10:25:00,212.2,212.4,211.76,212.1,671278.0
2025-07-16 10:20:00,212.28,212.38,211.85,212.19,875516.0
2025-07-16 10:15:00,211.44,212.31,211.37,212.27,1292187.0
2025-07-16 10:10:00,211.0,211.48,210.99,211.44,741767.0
2025-07-16 10:05:00,210.91,211.09,210.6,211.0,455122.0
2025-07-16 10:00:00,211.04,211.24,210.76,210.95,609992.0
2025-07-16 09:55:00,210.45,211.09,210.42,211.08,769453.0
2025-07-16 09:50:00,210.46,210.61,209.92,210.43,730627.0
2025-07-16 09:45:00,210.94,210.96,210.46,210.46,551363.0
2025-07-16 09:40:00,210.95,211.2,210.79,210.93,645368.0
2025-07-16 09:35:00,210.78,211.08,210.27,210.98,957859.0
2025-07-16 09:30:00,210.26,211.21,210.19,210.82,3563208.0
2025-07-15 15:55:00,209.73,210.0,208.98,209.05,1749757.0
2025-07-15 15:50:00,209.64,209.85,209.46,209.71,507265.0
2025-07-15 15:45:00,209.8,209.89,209.61,209.62,265115.0
2025-07-15 15:40:00,209.72,209.96,209.71,209.78,382112.0
2025-07-15 15:35:00,209.61,209.76,209.44,209.73,489389.0
2025-07-15 15:30:00,210.19,210.29,209.62,209.62,479235.0
2025-07-15 15:25:00,210.09,210.29,209.99,210.18,421053.0
2025-07-15 15:20:00,210.39,210.41,209.96,210.1,492089.0
2025-07-15 15:15:00,210.55,210.6,210.37,210.39,294777.0
2025-07-15 15:10:00,210.57,210.68,210.55,210.56,245476.0
2025-07-15 15:05:00,210.64,210.64,210.46,210.58,159317.0
2025-07-15 15:00:00,210.51,210.67,210.4,210.65,268965.0
2025-07-15 14:55:00,210.63,210.69,210.43,210.52,249477.0
2025-07-15 14:50:00,210.9,210.93,210.58,210.66,253794.0
2025-07-15 14:45:00,211.01,211.03,210.89,210.91,248223.0
2025-07-15 14:40:00,211.17,211.24,210.99,211.04,295201.0
2025-07-15 14:35:00,211.3,211.48,211.15,211.16,851170.0
2025-07-15 14:30:00,211.39,211.47,211.3,211.3,163681.0
